Ticket Id,Project,Department code,Shared resource,Owner,Close date,Tech,Units,Cost,Subject,Question,Problem type,Tech note,Account
83,,093204,Instrument Development,huberd,01-03-2007,bassins,1,50,Electrical panel.,Electrical panel.,Instrument Development,Completed modification.  1hour @ $50/hr = $50  Material cost = 0  ,51607
85,,093203,Media Facility,davilaj,11-13-2006,lavertyt,6,52.4,Mediatech items,1L TE  100 ml EDTA  1L water  100 ml NaAc  500 ml NACl,Mediatech,,51609
87,,093210,Instrument Development,seedsa,01-03-2007,bassins,2.5,3363,Adapter Blocks,Desgn and fabricate fited adapter blocks.,Instrument Development,57 Hours @ $59 = $3363  ,51607
88,,093207,Instrument Development,andrasfalvyb,01-03-2007,bassins,1,25.00,Fabricate a micrscope base plate.,Fabricate a micrscope base plate.,Instrument Development,1/2 Hour @ $50/Hr = $25  Material Cost = 0,51607
89,,093202,Instrument Development,betzige,01-03-2007,bassins,1,265.50,Bread Board,Modify,Instrument Development,Modification completed.  4.5Hours @ $59/Hr= $265.50    ,51607
91,,093204,Histology/anatomy Facility,zhongh,12-13-2006,ghitanin,1,165.00,Slice Cultures,Produce 2 hippocampal slice culture dishes,Histology/anatomy Facility,,51605
92,,093204,Histology/anatomy Facility,harveyc,12-13-2006,ghitanin,1,82.50,Slice Cultures,Prepare one Hippocampal culture dish per week,Histology/anatomy Facility,,51605
93,,093209,Media Facility,marvinj,11-13-2006,lavertyt,12,264,Amp + Tet plates,1 3L batch of Amp + Tet plates,Other,,51609
94,,093204,Histology/anatomy Facility,zhongh,12-13-2006,ghitanin,1,165.00,Slice Cultures,Produce two hippocampal slice culture dishes,Histology/anatomy Facility,,51605
95,,093204,Histology/anatomy Facility,scheussv,12-13-2006,ghitanin,1,165.00,Slice Cultures,Produce two hippocampal slice culture dishes.,Histology/anatomy Facility,,51605
96,,093204,Histology/anatomy Facility,maot,12-13-2006,ghitanin,1,247.50,Slice Cultures,,Histology/anatomy Facility,4.5 hours total time.,51605
97,,093204,Histology/anatomy Facility,harveyc,12-13-2006,ghitanin,1,82.50,Hippocampal Slice Cultures,Produce one hippocampal slice culture,Histology/anatomy Facility,,51605
98,,093204,Histology/anatomy Facility,maot,12-13-2006,ghitanin,1,165.00,Slice Cultures,Produce two hippocampal slice cultures,Histology/anatomy Facility,,51605
99,,093306,Instrument Development,rinbergd,03-06-2007,bassins,5,177,Dovetail Slides HH11190601-03 -02 -03 HH11190602-01 -02,Need to fabricate an other full set of  dovetail slide parts that had been made before.  Qty 1 Dovetail block  Qty 2 Dovetail locks,Instrument Development,Modified parts that did not fit after coming back from out-sourced machine shop.   2 Hours @ $59 = $118  ,51607
100,,093202,Light Microscopy,jin,01-11-2007,arnolda,3,45,Training on IX81,Na needs to be trained on IX81 before using it independently,Light Microscopy,,51606
101,,093306,Instrument Development,rinbergd,01-03-2007,bassins,1,2360,Turn table base.,Fabricate one turn table.,Instrument Development,40 Hours @ $59 = $2360,51607
102,,093204,Instrument Development,oconnord,01-03-2007,bassins,2,206.50,,Base plate for NEMA8 Motor and NDN2,Instrument Development,3.5 hours @ $59 = 206.50,51607
103,,093202,Instrument Development,betzige,01-03-2007,bassins,1,118,Camridge Galvo Mounting Plate,Camridge Galvo Mounting Plate,Instrument Development,2 Hours @ $59 = $118,51607
104,,093202,Instrument Development,betzige,01-03-2007,bassins,2,177,Beam Alignment tool,Fabricate beam alignment tools.,Instrument Development,3 Hours @ $59 = $177,51607
106,,093205,Media Facility,pfeifferb,12-05-2006,lavertyt,2,48,1L LB/Kan Plates (50ug/ml) final,,Kanamycin ,,51609
107,,093210,Cell Culture Facility,seedsa,12-13-2006,whiteh,2.5,150,Freeze Cell Line (S2),,Cell Culture Facility,cost change:  cell culture facility hourly rate:  $60/HR    Total charge for:  expansion  freeze  and recovery of cell line for A.Seeds is 2.5 hrs x $60/HR= $150,51604
108,,093403,Cell Culture Facility,brownt,12-13-2006,whiteh,7,420,Maintain Cell Line (La9) ; spinner flask culture,,Cell Culture Facility,Total charges for 11-08-2006 to 11-30-2006:    7 hrs ( includes: maintaing cells  medium preparation  and ordering supplies )  x $60/Hr cell culture facility rate=  $420 ,51604
110,,093094,Molecular Biology,whiteh,12-05-2006,mcgowank,24,100,test for work time,,Individual Reaction,,51602
113,,093204,Cell Culture Facility,harveyc,02-28-2007,whiteh,5.5,330,Plate 293 cells for transfection,,Cell Culture Facility,12-04-2006  Freeze 40 amps: p.38  3.5E06/amp     Total time charged for :  expansion;freeze;cells plated pre-transfection:    5.5 HRS  (cell culture facility rate x $60/HR = $330    ,51604
114,,093092,Media Facility,mcgowank,12-05-2006,lavertyt,4,34,Mediatech items,3L  LB  1L water  ,Mediatech,,51609
115,,093092,Media Facility,mcgowank,12-05-2006,lavertyt,1,24,plates,1 sleeve Kan,Kanamycin ,,51609
116,,093210,Media Facility,seedsa,12-05-2006,lavertyt,6,144,Amp plates,6 sleeves Amp,Ampicillin,,51609
117,,093209,Molecular Biology,mckinneys,01-05-2007,mcgowank,8,56,sequencing request Dec 1 2006,,Single Pass,,51602
118,,093209,Molecular Biology,marvinj,12-05-2006,mcgowank,28,196,seq request Dec 1 2006,,Single Pass,,51602
119,,093210,Molecular Biology,seedsa,12-13-2006,mcgowank,24,168,sequencing request Dec 5 2006,,Single Pass,,51602
120,,093209,Molecular Biology,mckinneys,12-13-2006,mcgowank,8,56,sequencing request Dec 5 2006,,Single Pass,,51602
121,,093209,Molecular Biology,mckinneys,12-11-2006,mcgowank,72,360,sequencing request Dec 6 2006,,Single Pass,,51602
122,,093209,Molecular Biology,marvinj,12-11-2006,mcgowank,24,120,sequencing request Dec 5 2006,,Single Pass,,51602
123,,093204,Histology/anatomy Facility,zhongh,12-13-2006,ghitanin,1,165.00,Hippocampal Slice Cultures,Two hippocampal slice cultures were prepared on 11/17/06,Histology/anatomy Facility,,51605
124,,093204,Histology/anatomy Facility,harveyc,12-28-2006,ghitanin,1,82.50,Hippocampal slice cultures,One hippocampal slice culture was produced,Histology/anatomy Facility,,51605
125,,093204,Histology/anatomy Facility,maot,12-28-2006,ghitanin,1,165.00,Hippocampal slice cultures,Two hippocampal slice cultures were produced,Histology/anatomy Facility,,51605
126,,093205,Molecular Biology,pfeifferb,12-11-2006,mcgowank,18,126,sequencing request Dec 7 2006,,Single Pass,,51602
127,,093205,Media Facility,murphyc,12-11-2006,lavertyt,4,96,Amp plates,4 sleeves,Ampicillin,,51609
128,,093205,Media Facility,murphyc,12-11-2006,lavertyt,3,25.50,Mediatech items,1L water  1L 10X TAE  500ml NaCL,Mediatech,,51609
129,,093202,Instrument Development,betzige,01-03-2007,bassins,3,118,Modification three parts.,Face off to given dimension.,Instrument Development,2 hours @ $59 = $118.00,51607
130,,093202,Instrument Development,betzige,01-03-2007,bassins,1,147,Fabrication of one part.,Fabrication to be perform.,Instrument Development,2.5hours @ $59 = $147.50,51607
131,,093205,Molecular Biology,pfeifferb,12-13-2006,mcgowank,8,56,sequencing request Dec 11 2006,,Single Pass,,51602
133,,093204,Cell Culture Facility,zhongh,12-11-2006,whiteh,2.5,150.00,Test brain slice cultures for microbial contamination,Assay conditioned supernatant of brain slice cultures for detection of microbial contamination  (see attached results),Cell Culture Facility,2.5 hrs total tech time   (cell culture rate= $60/HR)   = total charge:  $150,51604
134,,093210,Molecular Biology,seedsa,01-05-2007,mcgowank,21,147,sequencing request Dec 13 2006,,Single Pass,,51602
135,,093205,Molecular Biology,pfeifferb,01-05-2007,mcgowank,64,448,sequencing request Dec 14 2006,,Single Pass,,51602
136,,093098,Light Microscopy,olbrisd,12-14-2006,arnolda,2.5 hrs,117,Training on LSM and Slidebook software (Zeiss 5 live and olympus IX81),Don Olbris  and three others form the IT department were interested in seeing how the microscopes are being used and what  paramenters are important to researchers when setting up imaging experiments.,Light Microscopy,Two hours  of training on Zeiss LSM 5 LIVE and 30 minutes on Olympus IX81,51606
138,,093204,Light Microscopy,zhongh,12-14-2006,arnolda,2,40,Training on Zeiss LSM510,Needed training on LSM 510,Light Microscopy,,51606
139,,093210,Light Microscopy,simpsonj,10-01-2008,arnolda,9.5,427.5,Fluorophores for labeling fluit fly brains,Wants me to come up with a list of fluorophores that can be imaged simontaneously on the Zeiss LSM 510.,Light Microscopy,Looking into finding the appropriate filters through talking to Chroma.  I am also looking to find a prepared sample wiht all the necessary fluorophores which would allow us to test the microscope settings before Julie constructs her fluit flies,51606
141,,093204,Light Microscopy,grayn,01-03-2007,arnolda,3,120,Brain clearing protocol,Help with mouse/rat brain clearings,Light Microscopy,,51606
143,,093209,Molecular Biology,mckinneys,12-18-2006,mcgowank,42,210,sequencing request Dec 14  2006,,Single Pass,,51602
144,,093204,Molecular Biology,zhongh,12-18-2006,mcgowank,6,42,sequencing request,,Single Pass,,51602
145,,093204,Cell Culture Facility,maot,12-14-2006,whiteh,.75,45,plate 293 for transfection,,Cell Culture Facility,total time charged:  45 minutes   (cell culture rate= $60/hr)  ,51604
146,,093204,Cell Culture Facility,zhongh,12-20-2006,whiteh,2,120.00,maintain 293 for transfection 12/13- 12/22 ,maintain 293 for transfection 12/13- 12/22  ,Cell Culture Facility,12/13-12/22    293 maintained for transfection -per request by Haining  S/C flasks:  charge 0.5 hr per week= 1.0 hr    12/20/2006     Set: 4 x  35mm plates (each with 2 Biocoat coverslips) and 2 ml total   volume growth medium/plate   1.0 hr    Total viable cell count from 100mm plate: 1.078 E07    (100mm plate initiated 12/19 with 9E06 live cells ~5:45pm)     Split 1:20 to four 35mm plates (each  plate set with 5.39E05 live cells   in 2 ml medium)  plates set ~ 2:20 pm 12/20      Total time charged (2 hrs) = $120.00,51604
147,,093202,Cell Culture Facility,betzige,12-20-2006,whiteh,11. 5 + material fee,904.36,Cell Culture for Imaging,Expand FoLu and COS-7; freeze working batch ; transfect cells pre-imaging and work with  Kevin and Doug to optimize/standardize conditions for imaging    ,Cell Culture Facility,11/25/2006-12/22-06    TOTAL (time)  charged:  11.5 hrs (x $60/hr)= $690.00  + charge for Effectene Kit (Quiagen): $214.36  time + materials = $904.36,51604
148,,093403,Cell Culture Facility,brownt,12-20-2006,whiteh,6.0,360.00,Maintain spinner culture La9 (DEC 2006),Cells subcultured every Mon-Wed-Fri as follows:     Mon and Wed:  count cells and re-set spinner flask with 2E05 cells/ml in 100 ml growth medium.  Fridays: count cells and reset spinner flask with 1.5E05  cells/ml in 100 ml medium.   Every 10-14 days change to clean spinner flask.         Prepare growth medium as follows:     1.  S-MEM (GIBCO 00-5163EF Lot 1318544)  no exp   2.  Distilled water (GIBCO 15230 Lot 1336767) exp 5/2008   3.  50X HEPES/NaHCO3 stock solution (prepared by AT 7/31/2006) no exp   4.  NCS (GIBCO 16010-159 Lot 570892) exp 10/2009   5.  Pen/Strep/Glut stock solution (frozen stock supplied by Ariana)   6.  Na Pyruvate (GIBCO 11360-070 Lot 1340455) exp 5/07     A.  Weigh ~10.45 g and dissolve in ~ 950 ml DH2O   B.  Autoclave; check volume for excessive loss of volume; store at 4 degC   C.  Add:  20 ml HEPES/NaHCO3 solution  100 ml NCS  10 ml Pen/Strep/Glut         and 10 ml Na Pyruvate solution     Medium batch prepared 11-3-2006  (2 litres)         ,Cell Culture Facility,Maintain cells  12-01-2006 through 12-29-2006 and prep 2L medium (12/20/06)  estimated total time: 6.5 HRS ($60/HR)= $390,51604
149,,093209,Molecular Biology,marvinj,12-18-2006,mcgowank,4,28,sequencing request Dec 14 2006,,Single Pass,,51602
150,,093210,Media Facility,seedsa,12-15-2006,lavertyt,1,9,LB,1L LB,Mediatech,,51609
151,,093204,Media Facility,grayn,12-15-2006,lavertyt,1,13.75,PBS,1L 10X PBS,Mediatech,,51609
152,,093203,Media Facility,davilaj,12-15-2006,lavertyt,2,22.50,Mediatech items,1L 10X TAE  1L 10X TBE,Mediatech,,51609
153,,093205,Media Facility,pfeifferb,12-15-2006,lavertyt,10,240,bacterial plates,6 sleeves Amp-Chlor(12/6)  2 sleeves Amp(12/15)  2 sleeves Amp-Cloro (12/15),Other,,51609
154,,093205,Media Facility,murphyc,12-15-2006,lavertyt,1,15,Mediatech items,1L TE,Mediatech,,51609
155,,093210,Molecular Biology,seedsa,01-05-2007,mcgowank,8,56,sequencing request Dec 18 2006,,Single Pass,,51602
156,,093305,Instrument Development,chiappee,01-03-2007,bassins,1,177,Fabrication of one part.,Fabrication of one part.,Instrument Development,3Hours @ $59 = $177,51607
157,,093305,Instrument Development,chiappee,01-10-2007,bassins,2,404,Fabricate two parts.,Odor Well Half,Instrument Development,Fabrication of two parts completed.  6hours @ $59 = $354  Materials cost: $40,51607
159,,093204,Light Microscopy,maot,12-19-2006,arnolda,2,90,Training on Olympus IX81,Wants to use IX81 to image mouse Bain slices infected with AAV,Light Microscopy,,51606
160,,093204,Molecular Biology,maot,01-05-2007,mcgowank,3,21,sequencing request Dec 19 2006,,Single Pass,,51602
161,,093202,Instrument Development,shroffh,01-09-2007,bassins,1,326,Power Meter Holder,Fadricate one part and anodize.,Instrument Development,Fabrication completed  4Hours @ $59 = $236  Materials = 0  Plating = $90  Will ship to platers today.,51607
162,,093202,Instrument Development,betzige,01-03-2007,bassins,10,295,Beam Hieght Adjustment Spacer,Fabricate ten parts.,Instrument Development,5Hours @ $59 = $295  Material cost: $0,51607
163,,093209,Media Facility,marvinj,12-21-2006,lavertyt,3,27,Mediatech items,3 L LB,Mediatech,,51609
164,,093204,Molecular Biology,zhongh,12-21-2006,mcgowank,1,50,endo free prep,,Endo Free Maxi Prep,,51602
165,,093204,Molecular Biology,zhongh,01-05-2007,mcgowank,3,21,sequencing request Dec 27 2006,,Single Pass,,51602
166,,093204,Molecular Biology,satot,01-05-2007,mcgowank,6,42,seq request Dec 28 2006,,Single Pass,,51602
167,,093204,Histology/anatomy Facility,zhongh,12-28-2006,ghitanin,1,165.00,Slice Cultures,Two hippocampal slice cultures produced on 12/1/06.,Histology/anatomy Facility,,51605
168,,093204,Histology/anatomy Facility,harveyc,12-28-2006,ghitanin,1,82.50,Slice Cultures,One slice culture was produced on 12/1/06  includes cost of all materials.,Histology/anatomy Facility,,51605
169,,093204,Histology/anatomy Facility,maot,12-28-2006,ghitanin,1,82.50,Slice Cultures,One slice culture dish was produced on 12/8/06  cost includes all materials used.,Histology/anatomy Facility,,51605
170,,093204,Histology/anatomy Facility,maot,12-28-2006,ghitanin,1,165,Slice Cultures,Two hippocampal slice culture dishes were produced on 12/13/06  cost includes all materials used.,Histology/anatomy Facility,,51605
171,,093204,Histology/anatomy Facility,zhongh,12-28-2006,ghitanin,1,165,Slice Cultures,Two hippocampal slice culture dishes were produced on 12/15/06  cost includes all materials used.,Histology/anatomy Facility,,51605
172,,093204,Histology/anatomy Facility,grayn,12-28-2006,ghitanin,1,100,Cryostat sectioning of mouse brains.,Cryostat sections at 20 microns were made of two wild-type mouse brains and mounted on superfrost coated glass slides.  Cost includes all materials used.,Histology/anatomy Facility,,51605
173,,093204,Histology/anatomy Facility,zhongh,12-28-2006,ghitanin,1,165,Slice Cultures,Two hippocampal slice cultures were produced on 12/20/06  cost includes all materials used.,Histology/anatomy Facility,,51605
174,,093204,Histology/anatomy Facility,maot,12-28-2006,ghitanin,1,82.50,Slice Cultures,One Hippocampal slice culture dish was produced on 12/20/06  cost includes all materials used.,Histology/anatomy Facility,,51605
175,,093204,Histology/anatomy Facility,zhongh,01-02-2007,ghitanin,1,165,Slice Cultures,Two hippocampal slice culture dishes were produced on 12/29/06  cost includes all materials used.,Histology/anatomy Facility,,51605
176,,093204,Histology/anatomy Facility,maot,01-02-2007,ghitanin,1,165,Slice Cultures,Two hippocampal slice cultures were produced on 12/29/06  cost includes all materials used.,Histology/anatomy Facility,,51605
178,,093209,Media Facility,marvinj,01-03-2007,lavertyt,1,18,Mediatech items,TBS,Mediatech,,51609
179,,093205,Media Facility,murphyc,01-03-2007,lavertyt,4,17.32,Mediatech items,4 x 100ml water,Mediatech,,51609
180,,093092,Media Facility,gehmane,01-03-2007,lavertyt,1,12,Mediatech items,SDS,Mediatech,,51609
181,,093204,Instrument Development,oconnord,01-16-2007,bassins,6,866,Headpost Holder,Fabricate two Headpost Holder sets.,Instrument Development,Fabrication: 14 Hours @ $59 = $826  Materials Cost: $40.00,51607
182,,093209,Media Facility,marvinj,01-03-2007,lavertyt,1,22,Mediatech items,2 TAE,Mediatech,,51609
183,,093403,Cell Culture Facility,brownt,01-03-2007,whiteh,9,90,SR equipment usage,,Cell Culture Facility,Nov 10  2006-Dec 31  2006  BSC total hours = 9  current basic hourly rate = $10/Hr  total charge for 2006:  $90,51604
185,,093403,Cell Culture Facility,tkachuka,01-03-2007,whiteh,11.5,115,equipment charges for 11/10-12/31,,Cell Culture Facility,Nov 10  2006-Dec 31  2006  BSC total hours= 11.5  current basic hourly rate = $10/Hr  total charge for 2006:  $115,51604
186,,093202,Light Microscopy,palmxfer,01-11-2007,arnolda,1,45,Training,Needs training on IX81,Light Microscopy,,51606
188,,093204,Histology/anatomy Facility,zhongh,01-03-2007,ghitanin,1,80,Use of Culture Hood ,This report summarizes the clients use of the tissue culture hood located in 2E. 284 throughout the month of December.  Costs includes all materials used.,Histology/anatomy Facility,,51605
189,,093403,Histology/anatomy Facility,brownt,01-03-2007,ghitanin,1,10,Use of Culture Hood ,This report summarizes the client use of the tissue culture hood located in room 2E. 284 throughout the month of December 2006.  Cost includes all materials used.,Histology/anatomy Facility,,51605
190,,093403,Histology/anatomy Facility,tkachuka,01-03-2007,ghitanin,1,10,Use of Culture Hood ,This reports summarizes the client's use of the tissue culture hood located in room 2E. 284 throughout the month of November 2006.  Cost includes all materials used.,Histology/anatomy Facility,,51605
191,,093204,Cell Culture Facility,harveyc,01-03-2007,whiteh,1.5,15,SR equipment usage,,Cell Culture Facility,Nov 10  2006-Dec 31  2006  BSC total hours= 1.5  current basic hourly rate = $10/Hr  total charge for 2006:  $ 15.00    ** please contact Cell Culture Shared Resources  if you have any questions or input about this ticket. Thank you.,51604
192,,093210,Cell Culture Facility,seedsa,01-03-2007,whiteh,2,20,Shared Resource equipment usage ,,Cell Culture Facility,Nov 10  2006-Dec 31  2006   BSC total hours=  2.0  current basic hourly rate = $10/Hr   total charge for 2006:  $ 20.00     ** please contact Cell Culture Shared Resources  if you have any questions or input about this ticket. Thank you. ,51604
193,,093205,Light Microscopy,ngot,01-19-2007,arnolda,66,990,Billing,Billing statement for 2006---Zeiss 510 equipment use,Light Microscopy,Nov 15- 5.5hrs  Nov 29- 3hrs  Dec 1- 1.75hrs  Dec 4- 1.5 hrs  Dec 6- 6.25hrs  Dec11- 4hrs  Dec12- 7.75hrs  Dec15- 5hrs  Dec18- 6.5hrs  Dec19- 10.5hrs  Dec20- 3hrs  Dec28- 6.5hrs  Dec29- 4.75hrs    66hrs total at $15/hr    ,51606
194,,093403,Cell Culture Facility,brownt,01-03-2007,whiteh,n/a,678.17,ERM charge-backs not inlcuded in service request charges,,Cell Culture Facility, (Invitrogen )  10313-021   DMEM     500 ml (1)   $5.95    (in blue carrier/cold room)  26140-079   FBS        500 ml (2)   $480.48 (in Clayton freezer)  16010-159   NBCS     500 ml (2)  $89.40 (in Clayton freezer)  25200-056   0.25% Trypsin-EDTA  100 ml (5)  $26.80  (in Clayton freezer)  10378-016   Pen Strep Glutamine 100 ml (3)  $55.35 (in Clayton freezer)  11360-070   Sodium Pyruvate 100 ml (1) $6.30  (in blue carrier/cold room)  10010-023   PBS pH 7.4   500 ml (3) $13.89  (next to blue carrier/cold room)    total supply costs (11/2006):  $ 678.17        ,51604
196,,093205,Media Facility,murphyc,01-04-2007,lavertyt,4,25.02,Mediatech items,3 SOC  1 TE,Mediatech,,51609
197,,093094,Media Facility,whiteh,01-04-2007,lavertyt,1,15,Mediatech items,1 TAE,Mediatech,,51609
199,,093205,Molecular Biology,murphyc,01-05-2007,mcgowank,25 hours,0,QPCR usage for December,,run by investigator,,51602
200,,093209,Media Facility,mckinneys,01-05-2007,lavertyt,4,36,Mediatech items,4 LB,Mediatech,,51609
201,,093205,Media Facility,pfeifferb,01-05-2007,lavertyt,10,240,Amp plates,10 sleves amp,Ampicillin,,51609
202,,093210,Media Facility,seedsa,01-05-2007,lavertyt,3,72,Amp plates,3 sleeves Amp,Ampicillin,,51609
204,,093204,Molecular Biology,maot,01-05-2007,mcgowank,6,42,sequencing request Dec 27 2006,,Single Pass,,51602
205,,093204,Molecular Biology,maot,01-05-2007,mcgowank,2,14,seq request Jan 2 2007,,Single Pass,,51602
206,,093204,Molecular Biology,maot,01-05-2007,mcgowank,6,42,sequencing request Jan 3 2007 ,,Single Pass,,51602
207,,093204,Molecular Biology,zhongh,01-05-2007,mcgowank,3,21,seq request Dec 27 2006,,Single Pass,,51602
208,,093209,Molecular Biology,mckinneys,01-05-2007,mcgowank,14,98,seq request Dec 28 2006,,Single Pass,,51602
209,,093210,Molecular Biology,seedsa,01-05-2007,mcgowank,16,112,seq request Jan 3 2007,,Single Pass,,51602
210,,093209,Molecular Biology,mckinneys,01-08-2007,mcgowank,6 hours,0,liquid handling robotics usage,,run by investigator,,51602
211,,093304,Light Microscopy,kerrr,01-19-2007,arnolda,7.5,172.5,Billing for 2006,Billing for 2006  IX81 and LSM 5 LIVE usage,Light Microscopy,cost is 2hours *$45 + 5.5 hours @ $15 = 172.50,51606
212,,093202,Light Microscopy,palmxfer,02-06-2007,arnolda,0.5,22.5,Training on Zeiss LSM510,Needs training on Zeiss LSM 510,Light Microscopy,Training completed  thursday- Feb 1st  2007    30minutes @ $45/hr,51606
213,,093209,Molecular Biology,marvinj,01-10-2007,mcgowank,16,112,seq request Jan 8  2007,,Single Pass,,51602
214,,093403,Molecular Biology,tkachuka,01-09-2007,mcgowank,16,112,seq request Oct 25  2006,,Single Pass,,51602
215,,093306,Instrument Development,rinbergd,02-06-2007,bassins,1,252.00,Stainless Steel Round 440C,Fabricate one Stainless Steel Round 440C.,Instrument Development,Material came in.  Completed fabrication.  3 hours @ $59 = $177.00  Material Cost = $75.00,51607
216,,093202,Instrument Development,palmxfer,01-26-2007,bassins,1,147.50,Modification of one part.,Modify one Thorlabs MB1012 bread board.,Instrument Development,Modification completed.  2.5 Hours @ $59 = $147.50  Materials Cost 0,51607
217,,093402,Instrument Development,iyerv,01-16-2007,bassins,4,177,Training &  Modification of parts,Training &  Modification of parts,Instrument Development,3 Hours @ $59 = $177  Materials cost: 0,51607
218,,093204,Instrument Development,oconnord,01-10-2007,bassins,5,0,Training &  Modification of parts,Training &  Modification of parts,Instrument Development,1 Hour,51607
219,,093209,Molecular Biology,marvinj,01-11-2007,mcgowank,1,0,seq request Jan 10  2007,,Single Pass,,51602
